CATEGORY,START,STOP,MILES,DURATION in minutes
Business,Morrisville,Cary,8.2,17.0
Business,Cary,Durham,10.4,20.0
Business,Durham,Cary,9.9,25.0
Business,Durham,Cary,9.9,25.0
Business,Cary,Morrisville,7.3,28.0
Business,Morrisville,Cary,7.4,16.0
Business,Whitebridge,Westpark Place,1.6,2.0
Business,Westpark Place,Whitebridge,1.8,5.0
Business,Cary,Durham,10.4,18.0
Business,Durham,Cary,9.9,-1418.0
Business,Cary,Durham,9.9,17.0
Business,Durham,Cary,9.9,25.0
Business,Cary,Raleigh,13.3,23.0
Business,Raleigh,Cary,11.3,24.0
Business,Cary,Durham,10.5,18.0
Business,Durham,Cary,9.9,-1419.0
Business,Cary,Durham,10.1,18.0
Business,Durham,Cary,9.9,-1416.0
Business,Cary,Morrisville,3.1,10.0
Business,Morrisville,Cary,3.1,6.0
Business,Cary,Durham,9.9,18.0
Business,Durham,Cary,9.9,15.0
Business,Whitebridge,Summerwinds,8.8,18.0
Business,Summerwinds,Whitebridge,8.7,26.0
Business,Cary,Durham,11.8,17.0
Business,Parkwood,Parkwood,1.2,5.0
Business,Durham,Cary,9.9,20.0
Business,Whitebridge,Whitebridge,0.6,4.0
Business,Cary,Durham,9.9,20.0
Business,Durham,Morrisville,8.6,21.0
Business,Morrisville,Cary,6.3,20.0
Business,Cary,Durham,9.9,19.0
Business,Durham,Cary,9.9,20.0
Business,Cary,Morrisville,3.3,10.0
Business,Morrisville,Cary,3.1,13.0
Business,Cary,Morrisville,7.9,28.0
Business,Morrisville,Cary,8.9,6.0
Business,Kenner,New Orleans,12.8,36.0
Business,CBD,Pontchartrain Beach,7.7,23.0
Business,Pontchartrain Beach,CBD,7.0,21.0
Business,New Orleans,Metairie,12.5,23.0
Business,Kenner,New Orleans,13.2,19.0
Business,New Orleans,Kenner,13.0,43.0
Business,Kenner,Metairie,4.9,14.0
Business,Metairie,New Orleans,8.5,18.0
Business,CBD,St Thomas,1.3,7.0
Business,St Thomas,CBD,1.8,11.0
Business,New Orleans,Kenner,13.6,16.0
Business,Kenner,New Orleans,13.4,17.0
Business,New Orleans,Kenner,12.3,35.0
Personal,Kenner,Kenner,1.4,5.0
Personal,Morrisville,Cary,8.7,-1416.0
Personal,Cary,Morrisville,23.5,41.0
Personal,Morrisville,Morrisville,2.2,14.0
Personal,Morrisville,Cary,4.4,12.0
Personal,Cary,Morrisville,3.3,8.0
Business,Morrisville,Morrisville,11.8,31.0
Business,Morrisville,Banner Elk,195.3,206.0
Personal,Banner Elk,Banner Elk,8.3,21.0
Personal,Banner Elk,Banner Elk,3.2,10.0
Personal,Banner Elk,Elk Park,22.4,40.0
Personal,Elk Park,Banner Elk,12.2,30.0
Personal,Banner Elk,Banner Elk,4.5,12.0
Personal,Banner Elk,Newland,28.1,56.0
Personal,Newland,Newland,3.8,16.0
Personal,Newland,Boone,41.9,88.0
Personal,Boone,Banner Elk,23.8,53.0
Personal,Banner Elk,Banner Elk,13.0,33.0
Business,Banner Elk,Banner Elk,4.4,13.0
Personal,Banner Elk,Boone,15.1,27.0
Personal,Boone,Cary,180.2,185.0
Personal,Cary,Morrisville,4.1,12.0
Personal,Morrisville,Cary,6.1,21.0
Personal,Northwoods,Preston,3.3,11.0
Personal,Preston,Whitebridge,4.7,16.0
Business,Cary,Apex,7.2,21.0
Business,Apex,Cary,5.5,15.0
Business,Cary,Morrisville,3.3,7.0
Business,Hazelwood,Weston,0.9,4.0
Business,Morrisville,Cary,3.8,8.0
Business,Whitebridge,Stonewater,6.4,16.0
Business,Stonewater,Lexington Park at Amberly,3.0,15.0
Business,Lexington Park at Amberly,Whitebridge,8.7,30.0
Business,Whitebridge,Chessington,3.9,10.0
Personal,Chessington,Whitebridge,4.8,18.0
Personal,Whitebridge,Edgehill Farms,2.8,12.0
Personal,Edgehill Farms,Preston,1.4,7.0
Personal,Preston,Whitebridge,1.4,4.0
Business,Whitebridge,Edgehill Farms,2.7,6.0
Business,Edgehill Farms,Burtrose,2.3,9.0
Business,Cary,Morrisville,3.7,15.0
Business,Morrisville,Cary,2.9,9.0
Business,Cary,Morrisville,3.8,11.0
Business,Morrisville,Cary,5.1,14.0
Business,Hazelwood,Lexington Park at Amberly,9.1,23.0
Business,Cary,Durham,8.0,17.0
Business,Durham,Cary,9.9,21.0
Business,Cary,Morrisville,6.1,16.0
Business,Morrisville,Cary,12.2,33.0
Business,Wayne Ridge,Whitebridge,8.0,18.0
Business,Cary,Morrisville,4.0,17.0
Business,Morrisville,Cary,9.5,24.0
Business,Cary,Morrisville,3.0,12.0
Business,Morrisville,Cary,6.3,20.0
Business,Cary,Durham,10.4,16.0
Business,Durham,Cary,9.9,25.0
Business,Whitebridge,Parkway,1.5,6.0
Business,Cary,Morrisville,4.9,11.0
Business,Morrisville,Cary,7.9,29.0
Business,Parkway,Whitebridge,1.7,7.0
Business,Whitebridge,Westpark Place,2.2,6.0
Business,Westpark Place,Whitebridge,2.1,10.0
Business,Cary,Morrisville,2.5,8.0
Business,Morrisville,Cary,2.5,8.0
Business,Cary,Morrisville,2.8,12.0
Business,Morrisville,Raleigh,14.7,23.0
Business,Raleigh,Morrisville,14.6,26.0
Business,Morrisville,Cary,2.3,5.0
Business,Whitebridge,Westpark Place,2.2,2.0
Business,Westpark Place,Whitebridge,2.2,18.0
Business,Cary,Durham,14.0,25.0
Business,Durham,Cary,13.3,25.0
Business,Westpark Place,Whitebridge,1.8,7.0
Business,Whitebridge,Arlington Park at Amberly,6.2,17.0
Business,Arlington Park at Amberly,Lexington Park at Amberly,1.3,11.0
Business,Lexington Park at Amberly,Westpark Place,1.9,18.0
Business,Cary,Apex,6.9,22.0
Business,Apex,Cary,4.6,7.0
Business,Whitebridge,Edgehill Farms,2.8,7.0
Business,Cary,Morrisville,9.1,30.0
Business,Morrisville,Cary,8.1,32.0
Business,Cary,Morrisville,8.4,21.0
Business,Arlington,Washington,4.9,24.0
Business,Kalorama Triangle,K Street,1.0,8.0
Business,K Street,Kalorama Triangle,1.0,6.0
Business,West End,Northwest Rectangle,2.0,14.0
Business,K Street,Kalorama Triangle,1.1,4.0
Business,Kalorama Triangle,Downtown,1.5,4.0
Business,Connecticut Avenue,Kalorama Triangle,1.3,7.0
Business,Kalorama Triangle,Columbia Heights,1.8,4.0
Business,Columbia Heights,Kalorama Triangle,1.5,10.0
Business,Washington,Arlington,6.6,18.0
Business,Morrisville,Cary,8.0,22.0
Business,Whitebridge,Edgehill Farms,2.7,9.0
Business,Edgehill Farms,Whitebridge,2.7,15.0
Business,Cary,Morrisville,2.5,6.0
Business,Morrisville,Cary,2.5,8.0
Business,Whitebridge,Farmington Woods,5.2,14.0
Business,Farmington Woods,Edgehill Farms,4.0,13.0
Business,Edgehill Farms,Whitebridge,2.7,11.0
Business,Cary,Morrisville,4.8,25.0
Business,Morrisville,Cary,3.2,9.0
Business,Whitebridge,Waverly Place,6.9,18.0
Business,Cary,Raleigh,14.9,21.0
Business,Raleigh,Cary,17.4,33.0
Business,Cary,Durham,12.9,28.0
Business,Durham,Apex,15.3,35.0
Business,Apex,Apex,1.0,1.0
Business,Apex,Cary,6.0,15.0
Business,Whitebridge,Heritage Pines,2.2,7.0
Business,Heritage Pines,Edgehill Farms,4.4,14.0
Business,Edgehill Farms,Whitebridge,2.8,10.0
Business,Cary,Wake Forest,31.7,52.0
Business,Wake Forest,Cary,31.9,45.0
Business,Whitebridge,Westpark Place,1.9,3.0
Business,Westpark Place,Whitebridge,1.8,9.0
Business,Cary,Morrisville,8.4,23.0
Business,Islamabad,Islamabad,1.2,7.0
Business,R?walpindi,Islamabad,6.4,15.0
Business,Noorpur Shahan,Islamabad,3.3,13.0
Business,Islamabad,R?walpindi,6.5,20.0
Business,Islamabad,Islamabad,3.2,15.0
Business,Islamabad,Islamabad,1.4,7.0
Business,Islamabad,Islamabad,1.5,9.0
Business,R?walpindi,R?walpindi,4.1,38.0
Business,Noorpur Shahan,Islamabad,4.4,11.0
Business,Lahore,Lahore,7.4,23.0
Business,Lahore,Lahore,1.5,12.0
Business,Lahore,Lahore,3.4,14.0
Business,Lahore,Lahore,3.8,23.0
Business,Lahore,Lahore,7.0,19.0
Business,Lahore,Lahore,0.9,5.0
Business,Noorpur Shahan,Islamabad,6.2,16.0
Business,Islamabad,Islamabad,5.3,18.0
Business,Islamabad,Islamabad,4.3,10.0
Business,Islamabad,Islamabad,2.5,10.0
Business,Islamabad,Islamabad,2.6,9.0
Business,Islamabad,Islamabad,4.4,21.0
Business,Karachi,Karachi,2.9,25.0
Business,Lahore,Lahore,9.8,82.0
Business,Islamabad,Islamabad,37.7,161.0
Business,Islamabad,Islamabad,2.8,17.0
Business,Islamabad,Islamabad,1.6,10.0
Business,Lahore,Lahore,2.6,23.0
Business,Lahore,Lahore,2.4,15.0
Business,Lahore,Lahore,3.1,19.0
Business,Lahore,Lahore,6.1,28.0
Business,Karachi,Karachi,3.6,0.0
Business,Islamabad,Islamabad,1.7,6.0
Business,Islamabad,Islamabad,1.0,6.0
Business,Islamabad,Islamabad,0.7,0.0
Business,Islamabad,Islamabad,2.3,9.0
Business,Morrisville,Morrisville,6.2,20.0
Business,Morrisville,Cary,3.1,13.0
Business,Cary,Durham,10.5,19.0
Business,Durham,Morrisville,8.1,21.0
Business,Morrisville,Cary,3.1,9.0
Business,Whitebridge,Parkway,2.1,6.0
Business,Cary,Morrisville,4.3,9.0
Business,Morrisville,Cary,2.5,7.0
Business,Cary,Raleigh,20.6,38.0
Business,Raleigh,Cary,17.6,42.0
Business,Cary,Apex,5.6,14.0
Business,Apex,Apex,3.3,14.0
Business,Apex,Cary,5.3,17.0
Business,Whitebridge,Edgehill Farms,3.3,10.0
Business,Edgehill Farms,Whitebridge,3.3,9.0
Business,Cary,Morrisville,7.9,28.0
Business,Oakland,Emeryville,13.0,21.0
Business,Emeryville,Berkeley,3.0,10.0
Business,Berkeley,Emeryville,3.0,6.0
Business,Emeryville,Oakland,3.8,14.0
Business,Oakland,San Francisco,9.5,27.0
Business,SOMISSPO,French Quarter,1.7,11.0
Business,San Francisco,Berkeley,10.8,29.0
Business,West Berkeley,North Berkeley Hills,4.1,18.0
Business,North Berkeley Hills,Southside,2.2,13.0
Business,Berkeley,Emeryville,4.6,28.0
Business,Emeryville,Berkeley,3.1,8.0
Business,Berkeley,San Jose,47.7,58.0
Business,San Jose,Emeryville,44.6,53.0
Business,Emeryville,Oakland,13.2,15.0
Business,Morrisville,Cary,8.7,15.0
Business,Cary,Raleigh,17.2,37.0
Business,Raleigh,Cary,14.0,47.0
Business,Cary,Raleigh,28.1,41.0
Business,Raleigh,Cary,28.2,42.0
Business,Cary,Morrisville,3.1,10.0
Business,Morrisville,Cary,3.1,15.0
Business,Cary,Durham,16.4,29.0
Business,Durham,Morrisville,15.4,40.0
Business,Morrisville,Cary,2.2,7.0
Business,Cary,Apex,11.2,41.0
Business,Apex,Eagle Rock,2.2,7.0
Business,Eagle Rock,Cary,3.6,17.0
Business,Whitebridge,Savon Height,3.6,11.0
Business,Savon Height,Parkway,4.9,9.0
Business,Parkway,Whitebridge,8.7,21.0
Business,Whitebridge,Parkway,2.1,6.0
Business,Parkway,Whitebridge,2.1,10.0
Business,Cary,Morrisville,8.4,25.0
Business,Morrisville,Morrisville,5.9,15.0
Business,Huntington Woods,Huntington Woods,12.1,29.0
Business,Huntington Woods,Weston,3.9,7.0
Business,Morrisville,Cary,6.2,22.0
Business,Cary,Durham,10.4,18.0
Business,Durham,Cary,9.9,30.0
Business,Cary,Winston Salem,107.0,126.0
Business,Winston Salem,Asheville,133.6,114.0
Business,Asheville,Topton,91.8,107.0
Business,Topton,Hayesville,40.7,103.0
Business,Hayesville,Topton,75.7,126.0
Business,Topton,Bryson City,29.8,41.0
Business,Bryson City,Bryson City,16.3,62.0
Business,Bryson City,Bryson City,6.5,27.0
Business,Bryson City,Bryson City,6.3,30.0
Business,Bryson City,Almond,6.6,11.0
Business,Almond,Bryson City,15.2,20.0
Business,Bryson City,Asheville,68.4,73.0
Business,Asheville,Mebane,195.9,181.0
Business,Mebane,Cary,45.2,73.0
Business,Cary,Morrisville,3.2,9.0
Business,Morrisville,Raleigh,10.3,29.0
Business,Raleigh,Cary,13.1,26.0
Business,Savon Height,Whitebridge,9.6,25.0
Business,Cary,Durham,16.5,37.0
Business,Durham,Cary,12.8,33.0
Business,Whitebridge,Whitebridge,1.2,7.0
Business,Whitebridge,Whitebridge,1.0,6.0
Business,Whitebridge,Whitebridge,4.1,13.0
Business,Whitebridge,Whitebridge,4.2,14.0
Business,Whitebridge,Westpark Place,1.4,8.0
Business,Westpark Place,Whitebridge,1.8,7.0
Business,Cary,Morrisville,8.5,25.0
Business,Morrisville,Morrisville,5.0,15.0
Business,Morrisville,Cary,3.8,7.0
Business,Whitebridge,Hazelwood,2.5,6.0
Business,Hazelwood,Whitebridge,2.4,6.0
Business,Whitebridge,Westpark Place,1.4,5.0
Business,Westpark Place,Whitebridge,1.8,13.0
Business,Cary,Morrisville,3.1,17.0
Business,Morrisville,Cary,3.1,12.0
Business,Cary,Morrisville,7.9,16.0
Business,San Jose,Santa Clara,3.8,7.0
Business,Agnew,Cory,4.3,16.0
Business,Cory,Agnew,3.9,13.0
Business,Agnew,Renaissance,2.2,9.0
Business,Renaissance,Agnew,2.8,11.0
Business,Agnew,Agnew,2.2,8.0
Business,Agnew,Renaissance,2.4,14.0
Business,Renaissance,Agnew,2.8,17.0
Business,Santa Clara,Berkeley,43.9,61.0
Business,Downtown,West Berkeley,1.8,8.0
Business,West Berkeley,Central,3.3,15.0
Business,Berkeley,San Francisco,11.8,29.0
Business,San Francisco,Berkeley,13.2,40.0
Business,Berkeley,San Francisco,12.2,28.0
Business,San Francisco,Berkeley,11.3,33.0
Business,Berkeley,Emeryville,3.6,20.0
Business,Emeryville,Berkeley,3.0,13.0
Business,Berkeley,San Francisco,11.4,33.0
Business,NOMA,Downtown,0.9,6.0
Business,Downtown,Sunnyside,6.2,32.0
Business,Sunnyside,Ingleside,0.7,5.0
Business,Ingleside,Potrero Flats,5.5,14.0
Business,San Francisco,Oakland,12.7,37.0
Business,Oakland,Berkeley,2.6,10.0
Business,Central,Central,1.1,6.0
Business,Berkeley,San Francisco,12.6,29.0
Business,Tenderloin,SOMISSPO,1.2,11.0
Business,SOMISSPO,Tenderloin,1.1,10.0
Business,San Francisco,Oakland,9.9,5.0
Business,Oakland,Berkeley,6.0,23.0
Business,West Berkeley,Central,0.8,3.0
Business,Berkeley,Menlo Park,45.9,48.0
Business,Menlo Park,Palo Alto,4.0,15.0
Business,Palo Alto,Menlo Park,2.5,12.0
Business,Menlo Park,Berkeley,36.6,67.0
Business,Central,College Avenue,2.9,13.0
Business,College Avenue,Central,2.6,10.0
Business,Central,South,2.3,20.0
Business,South,Downtown,6.4,30.0
Business,Downtown,Central,1.4,8.0
Business,Central,West Berkeley,0.6,4.0
Business,West Berkeley,South,5.9,31.0
Business,South,Southwest Berkeley,0.8,7.0
Business,Berkeley,Emeryville,1.3,11.0
Business,Emeryville,Berkeley,3.7,19.0
Business,Central,Central,2.3,8.0
Business,Central,Central,2.6,26.0
Business,Central,Southside,1.9,6.0
Business,Southside,West Berkeley,2.1,12.0
Business,West Berkeley,Southside,4.0,29.0
Business,Southside,South Berkeley,0.9,6.0
Business,South Berkeley,Southside,0.9,4.0
Business,Southside,Central,2.4,11.0
Business,Central,Southside,1.9,10.0
Business,Southside,Central,1.9,12.0
Business,Berkeley,Mountain View,44.6,49.0
Business,Mountain View,Berkeley,43.6,53.0
Business,Berkeley,Emeryville,2.5,9.0
Business,Emeryville,Berkeley,3.7,11.0
Business,Berkeley,Oakland,5.1,7.0
Business,Oakland,San Francisco,9.7,17.0
Business,San Francisco,Berkeley,11.8,16.0
Business,Berkeley,El Cerrito,2.3,6.0
Business,El Cerrito,Berkeley,3.1,10.0
Business,Berkeley,Oakland,16.3,31.0
Business,Cary,Morrisville,3.1,10.0
Business,Morrisville,Cary,5.2,11.0
Business,Krendle Woods,Whitebridge,6.1,25.0
Business,Cary,Durham,10.3,19.0
Business,Durham,Cary,10.5,21.0
Business,Cary,Cary,1.5,5.0
Business,Cary,Cary,1.8,14.0
Business,Cary,Apex,5.4,13.0
Business,Apex,Cary,5.4,21.0
Business,Cary,Cary,39.2,65.0
Business,Cary,Cary,6.4,30.0
Business,Cary,Cary,2.7,9.0
Business,Cary,Cary,18.5,52.0
Business,Cary,Cary,2.5,12.0
Business,Cary,Cary,2.1,10.0
Business,Morrisville,Cary,3.4,8.0
Business,Cary,Cary,5.5,15.0
Business,Cary,Cary,4.1,13.0
Business,Cary,Cary,12.7,52.0
Business,Cary,Morrisville,3.0,10.0
Business,Morrisville,Cary,3.5,12.0
Business,Cary,Cary,5.9,16.0
Business,Cary,Cary,1.9,11.0
Business,Cary,Cary,3.3,11.0
Business,Cary,Cary,1.3,10.0
Business,Cary,Durham,10.3,17.0
Business,Durham,Cary,11.1,18.0
Business,Cary,Cary,1.4,5.0
Business,Cary,Apex,5.1,12.0
Business,Apex,Holly Springs,9.0,20.0
Business,Holly Springs,Cary,13.3,35.0
Business,Cary,Cary,2.5,7.0
Business,Cary,Morrisville,3.3,7.0
Business,Morrisville,Cary,2.9,14.0
Business,Cary,Raleigh,8.5,31.0
Business,Raleigh,Morrisville,6.7,42.0
Business,Morrisville,Cary,3.1,10.0
Business,Cary,Cary,5.5,15.0
Business,Cary,Cary,5.5,16.0
Business,Cary,Morrisville,2.9,12.0
Business,Morrisville,Cary,2.9,10.0
Business,Cary,Apex,5.1,11.0
Business,Apex,Cary,5.3,15.0
Business,Cary,Morrisville,3.3,7.0
Business,Morrisville,Cary,3.0,8.0
Business,Cary,Wake Co.,6.6,21.0
Business,Wake Co.,Morrisville,1.8,7.0
Business,Morrisville,Cary,3.0,10.0
Business,Cary,Morrisville,2.9,7.0
Business,Morrisville,Cary,3.4,11.0
Business,Cary,Cary,4.1,13.0
Business,Cary,Cary,3.8,15.0
Business,Cary,Cary,6.6,29.0
Business,Cary,Cary,4.0,11.0
Business,Cary,Cary,7.0,20.0
Business,Cary,Cary,6.9,37.0
Business,Cary,Cary,3.4,13.0
Business,Cary,Cary,3.4,9.0
Business,Cary,Cary,2.0,5.0
Business,Cary,Cary,2.0,5.0
Business,Cary,Apex,5.1,15.0
Business,Apex,Cary,8.8,28.0
Business,Cary,Cary,5.6,23.0
Business,Cary,Cary,18.9,54.0
Business,Cary,Fuquay-Varina,15.6,33.0
Business,Fuquay-Varina,Cary,15.6,36.0
Business,Cary,Morrisville,3.0,10.0
Business,Morrisville,Cary,3.1,12.0
Business,Cary,Morrisville,3.0,10.0
Business,Morrisville,Cary,4.8,10.0
Business,Cary,Cary,2.1,8.0
Business,Cary,Cary,3.1,10.0
Business,Cary,Apex,4.4,15.0
Business,Apex,Cary,4.7,13.0
Business,Cary,Morrisville,3.0,10.0
Business,Morrisville,Cary,3.0,9.0
Business,Cary,Cary,4.2,10.0
Business,Cary,Cary,4.1,9.0
Business,Cary,Cary,3.4,18.0
Business,Cary,Cary,3.3,12.0
Business,Cary,Morrisville,3.0,10.0
Business,Morrisville,Cary,3.1,16.0
Business,Cary,Morrisville,10.6,34.0
Business,Islamabad,Rawalpindi,5.9,19.0
Business,Rawalpindi,Islamabad,7.2,19.0
Business,Rawalpindi,Rawalpindi,3.3,18.0
Business,Islamabad,Islamabad,1.8,10.0
Business,Islamabad,Islamabad,1.4,11.0
Business,Islamabad,Islamabad,2.1,9.0
Business,Lahore,Lahore,2.1,12.0
Business,Lahore,Lahore,2.1,5.0
Business,Lahore,Lahore,3.0,20.0
Business,Lahore,Lahore,5.3,19.0
Business,Lahore,Lahore,1.6,2.0
Business,Lahore,Lahore,3.6,21.0
Business,Lahore,Lahore,1.7,15.0
Business,Lahore,Lahore,2.9,15.0
Business,Lahore,Lahore,0.6,5.0
Business,Lahore,Lahore,0.6,4.0
Business,Lahore,Lahore,2.3,11.0
Business,Lahore,Lahore,2.3,6.0
Business,Lahore,Lahore,3.2,11.0
Business,Lahore,Lahore,6.2,14.0
Business,Lahore,Lahore,7.7,21.0
Business,Lahore,Lahore,3.8,13.0
Business,Kar?chi,Kar?chi,4.9,12.0
Business,Kar?chi,Kar?chi,5.0,22.0
Business,Kar?chi,Kar?chi,0.6,4.0
Business,Kar?chi,Kar?chi,5.5,31.0
Business,Kar?chi,Kar?chi,2.0,8.0
Business,Kar?chi,Kar?chi,3.8,23.0
Business,Kar?chi,Kar?chi,5.1,34.0
Business,Kar?chi,Kar?chi,3.8,17.0
Business,Kar?chi,Kar?chi,1.4,8.0
Business,Kar?chi,Kar?chi,1.1,7.0
Business,Kar?chi,Kar?chi,4.1,15.0
Business,Kar?chi,Kar?chi,6.1,16.0
Business,Kar?chi,Kar?chi,1.3,11.0
Business,Kar?chi,Kar?chi,7.2,30.0
Business,Kar?chi,Kar?chi,2.8,18.0
Business,Kar?chi,Kar?chi,2.9,25.0
Business,Kar?chi,Kar?chi,4.6,22.0
Business,Kar?chi,Kar?chi,4.6,23.0
Business,Kar?chi,Kar?chi,0.8,4.0
Business,Kar?chi,Kar?chi,0.7,7.0
Business,Katunayake,Gampaha,6.4,18.0
Business,Gampaha,Ilukwatta,48.2,103.0
